Kabupaten/ Kota,new_cases,hospitalization_rate,mortality,testing,tracing_ratio,bed_occupancy_rate,vaksin_umum,vaksin_lansia,ppkm
PASER,0,,0,0,0,0,72.48,54.62,2
PASANGKAYU,0,,0,0,0,0,49.8,51.58,3
PASAMAN,0,,0,0,0,0,69.03,81.74,2
PARIGI MOUTONG,0,,0,0,0,0,45.08,37.07,3
PANIAI,0,,0,0,0,0,3.31,0.72,3
PANGKAJENE KEPULAUAN,0,,0,0,0,0,65.31,47.3,2
PANGANDARAN,0,,0,0,0,0,71.06,78.38,2
PAMEKASAN,0,,0,0,0,0,48.2,78.43,3
PAKPAK BHARAT,0,,0,0,0,0,87.27,87.62,2
PAHUWATO,0,,0,0,0,0,58.04,50.9,2
PADANG PARIAMAN,0,,0,0,0,0,60.37,54.07,2
PADANG LAWAS,0,,0,0,0,0,87.62,101.32,2
PACITAN,0,0.18,0,0,0,0.57,74.56,62.51,2
OGAN KOMERING ULU TIMUR,0,,0,0,0,0,69.03,53.66,2
OGAN KOMERING ULU SELATAN,0,,0,0,0,0,72.8,73.76,2
OGAN KOMERING ULU,0,,0.26,0,0,0,69.81,53.99,2
OGAN KOMERING ILIR,0,,0,0,0,6.67,63.06,64.25,2
NUNUKAN,0,,0,0,0,0,68.61,57.4,2
NIAS UTARA,0,,0,0,0,0,68.18,100.95,2
NIAS SELATAN,0,,0,0,0,0,69.93,96.01,2
NIAS BARAT,0,,0,0,0,0,66.91,77.64,2
NIAS,0,,0,0,0,0,71.11,72.16,2
NGAWI,0,,0,0,0,0.87,72.7,65.75,2
NGADA,0,,0,0,0,0,66.35,49,2
NDUGA,0,,0,0,0,,3.29,3.79,3
NATUNA,0,,0,0,0,0,80.25,64.66,2
NABIRE,0,,0,0,0,0,42.11,28.27,3
MUSI RAWAS,0,,0,0,0,0.6,68.59,67.07,2
MURUNG RAYA,0,,0,0,0,2.7,64.2,47.8,2
MUNA BARAT,0,,0,0,0,0,57.38,49.57,2
MUNA,0,,0,0,0,0,49.81,39.68,3
MUKO MUKO,0,,0,0,0,0,54.81,45.29,2
MOROWALI UTARA,0,,0,0,0,0,61.89,44.46,2
MINAHASA TENGGARA,0,,0,0,0,0,67.74,73.1,2
MESUJI,0,,0,0,0,0,70.12,72.95,2
MERAUKE,0,,0,0,0,0,64.28,36.89,3
MERANGIN,0,,0,0,0,0,57.44,50.07,2
MELAWI,0,,0,0,0,0,61.41,45.48,2
MAYBRAT,0,,0,0,0,,6.64,1.11,3
MAROS,0,,0,0,0,0,53.46,45.13,2
